3	154000	3297606
4	188214	2646412
5	168718	1975368
6	142271	1405113
7	112607	1045344
8	86482	775105
9	68269	617547
10	54666	501729
11	45940	423561
12	39247	361454
13	34426	314534
14	30198	275920
15	26743	242991
16	23759	215661
17	21822	195306
18	20112	177004
19	18627	160673
20	17326	147130
21	15985	135037
22	14858	124205
23	13942	115510
24	13109	107661
25	12389	100578
26	11748	94126
27	11164	88018
28	10620	82276
29	10105	76816
30	9605	71778
31	9161	67092
32	8757	62680
33	8348	58376
34	7958	54282
35	7633	50522
36	7327	46904
37	7031	43435
38	6653	40362
39	6268	37717
40	5937	35624
41	5625	33673
42	5337	31976
43	5075	30443
44	4848	29064
45	4642	27822
46	4447	26679
47	4267	25600
48	4098	24573
49	3935	23575
50	3783	22628
51	3639	21725
52	3504	20859
53	3370	20031
54	3238	19219
55	3117	18473
56	3001	17747
57	2884	17043
58	2779	16401
59	2678	15775
60	2580	15172
61	2490	14603
62	2407	14072
63	2327	13555
64	2247	13067
65	2168	12585
66	2092	12120
67	2017	11662
68	1949	11242
69	1884	10855
70	1819	10468
71	1757	10090
72	1695	9730
73	1634	9373
74	1579	9040
75	1525	8726
76	1471	8413
77	1419	8107
