[2, 94, 94]	3	71927
[2, 186, 2]	3	69069
[2, 176, 2]	3	50942
[96, 96, 2]	3	38162
[2, 190, 2]	3	32001
[2, 205, 2]	3	25398
[96, 96, 28]	3	24598
[2, 117, 2]	3	23557
[2, 174, 2]	3	20557
[96, 232, 2]	3	19696
[96, 96, 232]	3	19612
[96, 96, 232, 2]	4	19430
[28, 94, 94]	3	18784
[27, 28, 29]	3	18699
[4, 571, 569]	3	17278
[96, 28, 94]	3	15897
[96, 28, 94, 94]	4	15896
[96, 96, 28, 94, 94]	5	15886
[96, 96, 28, 94]	4	15886
[2, 203, 2]	3	13297
[176, 2, 186]	3	12689
[176, 2, 186, 2]	4	12686
[2, 176, 2, 186]	4	12664
[2, 176, 2, 186, 2]	5	12661
[29, 30, 29]	3	12401
[2, 171, 171]	3	11871
[28, 165, 94]	3	10392
[186, 2, 94]	3	9565
[186, 2, 94, 94]	4	9535
[2, 186, 2, 94]	4	9503
[4, 571, 569, 15]	4	9482
[571, 569, 15]	3	9482
[2, 186, 2, 94, 94]	5	9473
[165, 94, 94]	3	9325
[2, 371, 2]	3	9199
[10, 28, 28]	3	9139
[2, 173, 2]	3	8942
[28, 165, 94, 94]	4	8831
[2, 251, 2]	3	8480
[29, 42, 29]	3	8443
[96, 96, 10]	3	8413
[28, 29, 42, 29]	4	8380
[28, 29, 42]	3	8380
[27, 28, 29, 42, 29, 0]	6	8368
[28, 29, 42, 29, 0]	5	8368
[27, 28, 29, 42, 29]	5	8368
[29, 42, 29, 0]	4	8368
[27, 28, 29, 42]	4	8368
[42, 29, 0]	3	8368
[171, 171, 2]	3	8173
